person,quote,together
Plato,Wise men speak because they have something to say; Fools because they have to say something.,"""Wise men speak because they have something to say; Fools because they have to say something."" --Plato"
Plato,One of the penalties for refusing to participate in politics is that you end up being governed by your inferiors.,"""One of the penalties for refusing to participate in politics is that you end up being governed by your inferiors."" --Plato"
Plato,We can easily forgive a child who is afraid of the dark; the real tragedy of life is when men are afraid of the light.,"""We can easily forgive a child who is afraid of the dark; the real tragedy of life is when men are afraid of the light."" --Plato"
Plato,The beginning is the most important part of the work.,"""The beginning is the most important part of the work."" --Plato"
Plato,"Human behavior flows from three main sources: desire, emotion, and knowledge.","""Human behavior flows from three main sources: desire, emotion, and knowledge."" --Plato"
Plato,"Music is a moral law. It gives soul to the universe, wings to the mind, flight to the imagination, and charm and gaiety to life and to everything.","""Music is a moral law. It gives soul to the universe, wings to the mind, flight to the imagination, and charm and gaiety to life and to everything."" --Plato"
Plato,"There are two things a person should never be angry at, what they can help, and what they cannot.","""There are two things a person should never be angry at, what they can help, and what they cannot."" --Plato"
Plato,Thinking: the talking of the soul with itself.,"""Thinking: the talking of the soul with itself."" --Plato"
Plato,"A hero is born among a hundred, a wise man is found among a thousand, but an accomplished one might not be found even among a hundred thousand men.","""A hero is born among a hundred, a wise man is found among a thousand, but an accomplished one might not be found even among a hundred thousand men."" --Plato"
Plato,He who is not a good servant will not be a good master.,"""He who is not a good servant will not be a good master."" --Plato"
Plato,At the touch of love everyone becomes a poet.,"""At the touch of love everyone becomes a poet."" --Plato"
Plato,"The learning and knowledge that we have, is, at the most, but little compared with that of which we are ignorant.","""The learning and knowledge that we have, is, at the most, but little compared with that of which we are ignorant."" --Plato"
Plato,"To prefer evil to good is not in human nature; and when a man is compelled to choose one of two evils, no one will choose the greater when he might have the less.","""To prefer evil to good is not in human nature; and when a man is compelled to choose one of two evils, no one will choose the greater when he might have the less."" --Plato"
Plato,The first and greatest victory is to conquer yourself; to be conquered by yourself is of all things most shameful and vile.,"""The first and greatest victory is to conquer yourself; to be conquered by yourself is of all things most shameful and vile."" --Plato"
Plato,"Good people do not need laws to tell them to act responsibly, while bad people will find a way around the laws.","""Good people do not need laws to tell them to act responsibly, while bad people will find a way around the laws."" --Plato"
Plato,Science is nothing but perception.,"""Science is nothing but perception."" --Plato"
Plato,"If a man neglects education, he walks lame to the end of his life.","""If a man neglects education, he walks lame to the end of his life."" --Plato"
Plato,Courage is knowing what not to fear.,"""Courage is knowing what not to fear."" --Plato"
Plato,"There are three classes of men; lovers of wisdom, lovers of honor, and lovers of gain.","""There are three classes of men; lovers of wisdom, lovers of honor, and lovers of gain."" --Plato"
Plato,"Dictatorship naturally arises out of democracy, and the most aggravated form of tyranny and slavery out of the most extreme liberty.","""Dictatorship naturally arises out of democracy, and the most aggravated form of tyranny and slavery out of the most extreme liberty."" --Plato"
Plato,"There will be no end to the troubles of states, or of humanity itself, till philosophers become kings in this world, or till those we now call kings and rulers really and truly become philosophers, and political power and philosophy thus come into the same hands.","""There will be no end to the troubles of states, or of humanity itself, till philosophers become kings in this world, or till those we now call kings and rulers really and truly become philosophers, and political power and philosophy thus come into the same hands."" --Plato"
Plato,The measure of a man is what he does with power.,"""The measure of a man is what he does with power."" --Plato"
Plato,"Apply yourself both now and in the next life. Without effort, you cannot be prosperous. Though the land be good, You cannot have an abundant crop without cultivation.","""Apply yourself both now and in the next life. Without effort, you cannot be prosperous. Though the land be good, You cannot have an abundant crop without cultivation."" --Plato"
Plato,When the mind is thinking it is talking to itself.,"""When the mind is thinking it is talking to itself."" --Plato"
Plato,Knowledge which is acquired under compulsion obtains no hold on the mind.,"""Knowledge which is acquired under compulsion obtains no hold on the mind."" --Plato"
Plato,"Democracy... is a charming form of government, full of variety and disorder; and dispensing a sort of equality to equals and unequals alike.","""Democracy... is a charming form of government, full of variety and disorder; and dispensing a sort of equality to equals and unequals alike."" --Plato"
Plato,For a man to conquer himself is the first and noblest of all victories.,"""For a man to conquer himself is the first and noblest of all victories."" --Plato"
Plato,To love rightly is to love what is orderly and beautiful in an educated and disciplined way.,"""To love rightly is to love what is orderly and beautiful in an educated and disciplined way."" --Plato"
Plato,Love is a serious mental disease.,"""Love is a serious mental disease."" --Plato"
Plato,"All men are by nature equal, made all of the same earth by one Workman; and however we deceive ourselves, as dear unto God is the poor peasant as the mighty prince.","""All men are by nature equal, made all of the same earth by one Workman; and however we deceive ourselves, as dear unto God is the poor peasant as the mighty prince."" --Plato"
Plato,"When the tyrant has disposed of foreign enemies by conquest or treaty, and there is nothing more to fear from them, then he is always stirring up some war or other, in order that the people may require a leader.","""When the tyrant has disposed of foreign enemies by conquest or treaty, and there is nothing more to fear from them, then he is always stirring up some war or other, in order that the people may require a leader."" --Plato"
Plato,The greatest wealth is to live content with little.,"""The greatest wealth is to live content with little."" --Plato"
Plato,"Ignorance, the root and stem of all evil.","""Ignorance, the root and stem of all evil."" --Plato"
Plato,People are like dirt. They can either nourish you and help you grow as a person or they can stunt your growth and make you wilt and die.,"""People are like dirt. They can either nourish you and help you grow as a person or they can stunt your growth and make you wilt and die."" --Plato"
Plato,Death is not the worst that can happen to men.,"""Death is not the worst that can happen to men."" --Plato"
Plato,Justice in the life and conduct of the State is possible only as first it resides in the hearts and souls of the citizens.,"""Justice in the life and conduct of the State is possible only as first it resides in the hearts and souls of the citizens."" --Plato"
Plato,Attention to health is life's greatest hindrance.,"""Attention to health is life's greatest hindrance."" --Plato"
Plato,"Every heart sings a song, incomplete, until another heart whispers back. Those who wish to sing always find a song. At the touch of a lover, everyone becomes a poet.","""Every heart sings a song, incomplete, until another heart whispers back. Those who wish to sing always find a song. At the touch of a lover, everyone becomes a poet."" --Plato"
Plato,A good decision is based on knowledge and not on numbers.,"""A good decision is based on knowledge and not on numbers."" --Plato"
Plato,"No evil can happen to a good man, either in life or after death.","""No evil can happen to a good man, either in life or after death."" --Plato"
